CFSAUID,dummy1,Population,dummy2,dummy3
M1B,,67251,20881,20045
M1C,,35601,11410,11152
M1E,,46398,17543,16877
M1G,,30243,10548,10092
M1H,,23706,8949,8540
M1J,,36163,12970,12320
M1K,,47286,18458,17692
M1L,,32981,12423,12002
M1M,,22919,8896,8611
M1N,,21505,9446,9032
M1P,,43305,16675,15613
M1R,,28943,11203,10636
M1S,,36505,12498,11414
M1T,,34364,12841,12536
M1V,,56313,16510,16193
M1W,,49590,16378,16076
M1X,,14744,3574,3531
M2H,,25331,9061,8802
M2J,,54104,20503,19488
M2K,,19897,8797,8353
M2L,,12025,4201,4034
M2M,,32696,13015,12399
M2N,,67114,32185,29619
M2P,,7813,3166,3007
M2R,,39583,15545,15215
M3A,,34435,13540,13086
M3B,,13499,5241,5076
M3C,,38289,16050,15625
M3H,,34535,13785,13161
M3J,,25356,10810,9484
M3K,,5889,2307,2181
M3L,,18000,6564,6194
M3M,,23727,9620,9183
M3N,,42762,14558,13748
M4A,,14150,6223,6058
M4B,,18453,7820,7555
M4C,,45822,20005,19319
M4E,,24598,11346,10767
M4G,,18030,7616,7397
M4H,,18478,6457,6346
M4J,,35146,15232,14719
M4K,,31624,15058,14577
M4L,,31544,14420,13716
M4M,,23135,9969,9459
M4N,,15194,6377,6037
M4P,,19185,12028,11435
M4R,,11048,5230,4958
M4S,,25627,14039,13591
M4T,,10094,5293,5074
M4V,,17271,10096,9430
M4W,,14022,7645,7109
M4X,,20387,10689,10111
M4Y,,26207,18779,17237
M5A,,34649,19382,18172
M5B,,11352,7425,6549
M5C,,2974,1866,1738
M5E,,6436,4280,3982
M5G,,7001,4788,4055
M5H,,1027,1103,720
M5J,,10454,7137,6316
M5K,,5,2,2
M5L,,5,1,1
M5M,,25852,9941,9536
M5N,,16349,6811,6450
M5P,,18343,9181,8611
M5R,,25056,14907,13570
M5S,,13690,7622,6719
M5T,,18705,9335,8680
M5V,,30669,22424,19335
M5W,,5,1,1
M5X,,5,2,2
M6A,,19754,7881,7495
M6B,,29236,11530,11055
M6C,,24256,10870,10317
M6E,,37920,15295,14340
M6G,,32075,14311,13229
M6H,,42856,19383,17735
M6J,,28949,13535,12660
M6K,,35320,19536,17712
M6L,,20807,7639,7412
M6M,,41954,16336,15660
M6N,,41312,16738,15845
M6P,,37959,19322,17940
M6R,,19439,9149,8564
M6S,,31548,14240,13507
M7A,,0,1,1
M7Y,,0,1,1
M8V,,31921,17173,16029
M8W,,20046,9036,8534
M8X,,10481,4577,4454
M8Y,,19805,9413,8965
M8Z,,15302,6433,6186
M9A,,33520,14360,13874
M9B,,30182,11584,11313
M9C,,36672,14462,14244
M9L,,11998,4066,3651
M9M,,20681,7149,6787
M9N,,24946,10826,10240
M9P,,20970,8097,7827
M9R,,32581,12343,11858
M9V,,55949,17584,16465
M9W,,41164,14302,13628
